,group,names,scores,logfoldchanges,pvals,pvals_adj
4328,untreated,SYNGR2,16.83153,1.5127009,1.4334926342721418e-63,4.745219808939126e-62
4329,untreated,TMEM123,16.826406,1.7155917,1.5630383263401214e-63,5.16228930872151e-62
4330,untreated,ACAA,16.817913,2.433532,1.8040086075224252e-63,5.944637887645325e-62
4331,untreated,MCL,16.774502,1.160563,3.749856832382185e-63,1.2273180064904935e-61
4332,untreated,KIF5B,16.702646,1.4476341,1.2538066979017223e-62,4.0852733035667775e-61
4333,untreated,ADPRHL2,16.694624,2.933016,1.434205372501752e-62,4.6626112915426085e-61
4334,untreated,KRT7,16.685928,1.1791712,1.6590772010869873e-62,5.381631671025915e-61
4335,untreated,GAPDH,16.65802,0.8628377,2.6463713572348683e-62,8.565048677803365e-61
4336,untreated,ACADVL,16.632069,1.5070918,4.082515468663397e-62,1.3183803286803663e-60
4337,untreated,ATP6AP2,16.628967,1.7243361,4.299359745554225e-62,1.3853280670153882e-60
4338,untreated,NUDT16L,16.619532,3.2888145,5.0324936929945365e-62,1.616213434681608e-60
4339,untreated,C7orf13,16.619463,2.8555238,5.038155009019876e-62,1.616213434681608e-60
4340,untreated,TPGS2,16.609217,1.4929832,5.976791939173005e-62,1.9131000101335267e-60
4341,untreated,HDAC3,16.601398,2.0884218,6.808654592538427e-62,2.1745795283245806e-60
4342,untreated,ETHE,16.582119,1.8906174,9.385981370652793e-62,2.991164063121193e-60
4343,untreated,WDR,16.548145,1.5102253,1.6511121332774282e-61,5.250319807612164e-60
4344,untreated,C1orf2,16.543291,3.2311804,1.789691627478259e-61,5.678558674784729e-60
4345,untreated,SMAGP,16.529137,1.7063525,2.2636438225790252e-61,7.166725932400522e-60
4346,untreated,PRKRA,16.516396,1.4016851,2.7961524753743767e-61,8.833410385247923e-60
4347,untreated,UBE2B,16.515654,1.8471904,2.8307322618840835e-61,8.923254062841541e-60
4348,untreated,SCPEP,16.51498,1.4676386,2.862538029208265e-61,9.003983255509634e-60
4349,untreated,GABRP,16.497927,1.6981783,3.797111497026211e-61,1.1917845415720281e-59
4350,untreated,PFKL,16.484512,1.5391258,4.7410837251245505e-61,1.481665133193763e-59
4351,untreated,RABGGTB,16.471231,1.8915412,5.90549240038653e-61,1.8376577208226347e-59
4352,untreated,CXCL2,16.44919,5.52255,8.499752262477283e-61,2.6392820486820483e-59
4353,untreated,TACO,16.434158,2.8026052,1.0892744593948071e-60,3.3751250413486857e-59
4354,untreated,SLC25A5,16.430315,0.931663,1.1605350649214502e-60,3.588275651795428e-59
4355,untreated,DESI,16.42607,2.38246,1.244711558806982e-60,3.8403712043700765e-59
4356,untreated,DCXR,16.399307,1.8734106,1.9342977548470213e-60,5.955342155389177e-59
4357,untreated,LTBR,16.355425,1.3660853,3.979234941873408e-60,1.222542117871128e-58
4358,untreated,LIMD2,16.352121,1.881401,4.2009333820646004e-60,1.2879317280203116e-58
4359,untreated,MFSD3,16.338438,3.0416653,5.258284757219313e-60,1.6087030335139172e-58
4360,untreated,VAMP2,16.331831,1.3685861,5.859806165493933e-60,1.7889643528772654e-58
4361,untreated,EFCAB4A,16.33136,3.163784,5.905306820279565e-60,1.799075863989573e-58
4362,untreated,MAGED2,16.327045,1.6848733,6.337979615548839e-60,1.9268518780994922e-58
4363,untreated,USF2,16.316868,2.0532749,7.488097413076219e-60,2.2670214918088252e-58
4364,untreated,FADS3,16.315453,2.6835325,7.66372090500612e-60,2.3153678210301237e-58
4365,untreated,SF,16.313631,1.3042086,7.895565273112094e-60,2.3804637873208497e-58
4366,untreated,GSK3B,16.313093,2.3041263,7.965592372575707e-60,2.396604313835822e-58
4367,untreated,CD320,16.293476,2.1901398,1.0980578296168118e-59,3.296895946279238e-58
4368,untreated,PRADC,16.293072,2.8139932,1.1053449593539981e-59,3.31193256687264e-58
4369,untreated,C20orf24,16.286398,2.2856967,1.2327808540246846e-59,3.68616694870097e-58
4370,untreated,VTI1B,16.246897,1.9347748,2.349579869099862e-59,6.996740708557212e-58
4371,untreated,ZNHIT2,16.21616,3.6342301,3.8769327301865855e-59,1.1521387819033017e-57
4372,untreated,TMX2,16.205576,1.5733945,4.605511341424876e-59,1.3658630778282916e-57
4373,untreated,MED,16.200184,2.2676556,5.0276908305240026e-59,1.4880326506960244e-57
4374,untreated,IMPDH2,16.197351,1.084242,5.264548706912491e-59,1.5549679229441526e-57
4375,untreated,CYHR,16.192635,1.6394194,5.684266293594226e-59,1.6755326121401884e-57
4376,untreated,UCKL,16.142685,1.7786428,1.278581469669509e-58,3.753605235805516e-57
4377,untreated,HEXB,16.126507,3.034556,1.661584963854825e-58,4.8681759465198223e-57
4378,untreated,NIPA2,16.116798,2.4906182,1.9442167792223454e-58,5.684780329106463e-57
4379,untreated,DNPEP,16.09388,1.5197289,2.816196571742423e-58,8.201396509130439e-57
4380,untreated,PLP2,16.053772,1.0980408,5.379267041853815e-58,1.5603095539365197e-56
4381,untreated,CALM2,16.052088,1.1815519,5.527351940903057e-58,1.6000692909403036e-56
4382,untreated,IRF7,16.000452,4.009295,1.2684989962220083e-57,3.657505439106791e-56
4383,untreated,C9orf142,15.98515,1.2887994,1.6217418151348713e-57,4.666762783671276e-56
4384,untreated,FAM189B,15.978342,1.6072406,1.808922074745313e-57,5.195109800434563e-56
4385,untreated,HTATIP2,15.960614,1.1757799,2.4035480582922158e-57,6.875661492736708e-56
4386,untreated,GALK,15.923135,2.038484,4.378757944698137e-57,1.250139694545252e-55
4387,untreated,CSNK2B,15.91208,0.97652584,5.224833502359799e-57,1.488770205025345e-55
4388,untreated,HYI,15.89388,3.4347723,6.986619571555809e-57,1.9868797576095695e-55
4389,untreated,AMZ2,15.891116,1.4146072,7.301590177916965e-57,2.0723966497165884e-55
4390,untreated,HSPE,15.854379,0.8791628,1.311182608572703e-56,3.714250617500686e-55
4391,untreated,LMNA,15.851143,0.92568266,1.3804716370942703e-56,3.902920978648626e-55
4392,untreated,C9orf16,15.83065,0.8374096,1.9123304140055615e-56,5.396113704141518e-55
4393,untreated,GCFC2,15.819663,2.1232574,2.27707422359617e-56,6.412876476220841e-55
4394,untreated,DEDD2,15.815956,3.0100172,2.415165520209327e-56,6.788623856805016e-55
4395,untreated,ODF3B,15.800789,2.5524871,3.0724749561521533e-56,8.619537849961988e-55
4396,untreated,AURKAIP,15.795936,0.8092525,3.318337838365306e-56,9.291345947422857e-55
4397,untreated,PITHD,15.762433,2.4949074,5.641804580149255e-56,1.5766673876678652e-54
4398,untreated,SPNS,15.74248,2.7046611,7.735092256241248e-56,2.157511721069056e-54
4399,untreated,DNAJB,15.702845,1.3779968,1.4460974844623666e-55,4.0181049032900787e-54
4400,untreated,TUBB,15.683431,1.4158498,1.963554161297439e-55,5.445490280911142e-54
4401,untreated,ZDHHC24,15.670152,2.5684416,2.420019530056524e-55,6.698614059196458e-54
4402,untreated,NFKBIA,15.657546,1.7102197,2.950640966769281e-55,8.136378468518252e-54
4403,untreated,MYL,15.643053,1.6874031,3.705275702632941e-55,1.0197929263382935e-53
4404,untreated,ECHDC2,15.619326,1.5237427,5.377138197621491e-55,1.4771374723598393e-53
4405,untreated,PSMD3,15.613192,1.654536,5.92001265055007e-55,1.6201435750996915e-53
4406,untreated,H2AFY2,15.611911,2.4815705,6.040071637338967e-55,1.6498932525152231e-53
4407,untreated,SF3A2,15.606181,2.596182,6.607565686675527e-55,1.8015224119844044e-53
4408,untreated,SMKR,15.572072,4.482604,1.1269606159353185e-54,3.0668523728037545e-53
4409,untreated,ATP6V1B,15.54066,3.7006001,1.840778089222311e-54,4.990706565779595e-53
4410,untreated,PRPS2,15.514775,2.2415118,2.755982021284948e-54,7.458087659834798e-53
4411,untreated,DPH7,15.475678,2.0886116,5.0636669688696914e-54,1.3652172243342183e-52
4412,untreated,COX6A,15.463949,0.7049387,6.075651267229601e-54,1.6350252632477884e-52
4413,untreated,MFF,15.4417715,1.4127522,8.571271360687347e-54,2.2981128305075375e-52
4414,untreated,GUSB,15.422089,2.0686798,1.1628180033512537e-53,3.1119836509577195e-52
4415,untreated,C7orf50,15.417033,1.1868639,1.257501842737551e-53,3.3591942607834726e-52
4416,untreated,RAB1A,15.404158,1.1514479,1.534749267698148e-53,4.084794204796609e-52
4417,untreated,UBA2,15.397889,1.433507,1.690998832638173e-53,4.492430536727227e-52
4418,untreated,MOSPD3,15.388721,1.8285148,1.9484393170379102e-53,5.166919736349436e-52
4419,untreated,FKBP2,15.387576,0.8772075,1.983249145191258e-53,5.249649649894237e-52
4420,untreated,SDC2,15.376251,3.840811,2.3623589997083366e-53,6.230453899049283e-52
4421,untreated,PHF,15.373757,2.2463815,2.4551024952631795e-53,6.4633241777471965e-52
4422,untreated,UBE2D3,15.363915,0.8494646,2.857816327821625e-53,7.509907210832523e-52
4423,untreated,RASSF7,15.350433,3.2012722,3.5182678451301036e-53,9.228784896287124e-52
4424,untreated,PREB,15.345378,2.0517933,3.803374606370716e-53,9.95867383419446e-52
4425,untreated,ARHGAP2,15.344839,1.7078325,3.8351121789257522e-53,1.0023714061897308e-51
4426,untreated,TADA3,15.341671,1.4377317,4.026968440949727e-53,1.050626667574173e-51
4427,untreated,RRS,15.332368,2.2059677,4.647296716053507e-53,1.2081308743772731e-51
4428,untreated,FAM50B,15.327785,2.247433,4.987085799496311e-53,1.2918419044256754e-51
4429,untreated,GAL,15.321583,1.9108151,5.486497737547786e-53,1.4161595936419967e-51
4430,untreated,BCL2L12,15.314168,2.2906826,6.149378119864919e-53,1.5844461496077484e-51
4431,untreated,PKM,15.311741,1.104803,6.383190615195804e-53,1.6417792215933702e-51
4432,untreated,VMP,15.311404,1.2493998,6.416357165915155e-53,1.6473940341886753e-51
4433,untreated,MRPS30,15.311068,2.737261,6.449695317775031e-53,1.653033022185304e-51
4434,untreated,HERPUD,15.284239,1.4332644,9.739458018736987e-53,2.4917923226810896e-51
4435,untreated,TSPAN13,15.283699,1.8047428,9.820407286029343e-53,2.508087147286088e-51
4436,untreated,ATF6B,15.262061,1.5127221,1.3685588163015701e-52,3.4829941713650466e-51
4437,untreated,TMEM5,15.261657,1.1170233,1.3770687781776385e-52,3.498525084698854e-51
4438,untreated,SLC35B2,15.258084,2.0801353,1.454565727671123e-52,3.6889614580308484e-51
4439,untreated,CSDE,15.236851,0.9733503,2.0134453978692196e-52,5.097454446312805e-51
4440,untreated,MTL5,15.221145,2.9070735,2.5601321749609818e-52,6.459000133078644e-51
4441,untreated,UBE2G,15.194316,1.9657645,3.85668915621834e-52,9.713242082870869e-51
4442,untreated,WIPI,15.194046,1.8977168,3.872590017701413e-52,9.736414902636148e-51
4443,untreated,DDR,15.187508,1.4626393,4.2788184009202684e-52,1.0739169085004032e-50
4444,untreated,MT1X,15.184205,1.617659,4.499883843814921e-52,1.1274536554882488e-50
4445,untreated,TRIM27,15.177801,2.0147946,4.96138951052473e-52,1.2409451354035348e-50
4446,untreated,FBXL15,15.169779,3.653587,5.60650757799702e-52,1.3998929230833795e-50
4447,untreated,NT5C,15.164049,2.643552,6.117812392193081e-52,1.5223296178655796e-50
4448,untreated,APP,15.147804,1.1449168,7.834065855527802e-52,1.946062307906496e-50
4449,untreated,CCDC23,15.106685,1.3944265,1.4631771080977284e-51,3.628479476941329e-50
4450,untreated,EIF3D,15.098393,0.8971789,1.6592622167798347e-51,4.107733992205206e-50
4451,untreated,RHBDD2,15.094753,1.4020185,1.7534134070283038e-51,4.326078714929594e-50
4452,untreated,MIB2,15.081474,1.8210554,2.1442691460121537e-51,5.281443937262478e-50
4453,untreated,CLDN4,15.077093,1.1855608,2.291387133532364e-51,5.634253439000391e-50
4454,untreated,HAGH,15.0626,3.0415108,2.8534106956294787e-51,7.00435206569047e-50
4455,untreated,ITFG,15.062263,2.4478743,2.867996969958417e-51,7.028285323344978e-50
4456,untreated,VAMP8,15.052017,0.7899907,3.34867581091229e-51,8.178648215828134e-50
4457,untreated,SDCBP,15.043388,1.5337203,3.815108351386289e-51,9.302207141333148e-50
